shoeName, brand, styleID, retailPrice, lowestResellPrice_StockX, lowestResellPrice_Goat, lowestResellPrice_flightClub, id, silhoutte, Colorway, releaseDate, description
On Running Cloudswift Ice Oasis Green (W), On, 41.98921, 150, 287, undefined, undefined, 637501711cb69837c653011a, On Running Cloudswift, Ice/Oasis, , 
On Running Cloud Hi Edge Stone Pine Jungle Forest, On, 28.99101, 200, undefined, undefined, undefined, 637501711cb69837c653011b, On Running Cloud Hi Edge Stone Pine, Jungle/Forest, , 
On Running Cloudmonster Acai Purple Yellow, On, 61.99027, 170, 180, 249, undefined, 637501711cb69837c653011c, On Running Cloudmonster, Acai/Aloe, , 
On Running Cloud 5 Zinc Grey Canyon Orange, On, 59.98888, 140, 155, undefined, undefined, 637501711cb69837c653011d, On Running Cloud 5, Zinc/Canyon, , 
On Running Cloudgo Black Glacier, On, 55.98634, 140, 253, undefined, undefined, 637501711cb69837c653011e, On Running Cloudgo, Black/Glacier, , 
On Running Cloudultra Black White, On, 44.99543, 180, 150, 135, undefined, 637501711cb69837c653011f, On Running Cloudultra, Black/White, , 
On Running Cloudvista Frost Ink, On, 64.99061, 140, 211, undefined, undefined, 637501711cb69837c6530120, On Running Cloudvista, Frost/Ink, , 
On Running Cloudgo Black Eclipse, On, 55.98635, 140, 144, undefined, undefined, 637501711cb69837c6530121, On Running Cloudgo, Black/Eclipse, , 
On Running Cloudstratus Rose Red (W), On, 39.99208, 170, 138, undefined, undefined, 637501711cb69837c6530122, On Running Cloudstratus, Rose/Red, , 
On Running Cloud X Orange Sea Green, On, 40.99704, 140, undefined, undefined, undefined, 637501711cb69837c6530123, On Running Cloud X, Orange/Sea, , 
On Running Cloudnova Navy White, On, 26.99117, 160, 345, undefined, undefined, 637501711cb69837c6530124, On Running Cloudnova, Navy/White, , 
On Running Cloudultra Fluorite Lily White (W), On, 96.98411, 190, 315, undefined, undefined, 637501711cb69837c6530125, On Running Cloudultra, Lily/White, , 
On Running Cloudswift Magnet Black Citron Yellow, On, 41.99227, 150, 314, undefined, undefined, 637501711cb69837c6530126, On Running Cloudswift, Magnet/Citron, , 
On Running Cloudultra Vine Meadow Green (W), On, 44.99043, 180, 314, undefined, undefined, 637501711cb69837c6530127, On Running Cloudultra, Vine/Meadow, , 
On Running Cloud X Rust Rock Grey, On, 40.99241, 140, 124, 140, undefined, 637501711cb69837c6530128, On Running Cloud X, Rust/Rock, , 
On Running Cloudflow 3.0 Rust White (W), On, 35.99232, 140, 302, undefined, undefined, 637501711cb69837c6530129, On Running Cloudflow 3.0, Rust/White, , 
On Running Cloud X Storm Blue Tide, On, 40.99703, 140, 296, undefined, undefined, 637501711cb69837c653012a, On Running Cloud X, Storm/Tide, , 
On Running Cloudvista Frost Mineral (W), On, 64.99057, 140, 158, undefined, undefined, 637501711cb69837c653012b, On Running Cloudvista, Frost/Mineral, , 
On Running Cloudwander Waterproof Navy Desert (W), On, 73.98572, 180, 314, undefined, undefined, 637501711cb69837c653012c, On Running Cloudwander Waterproof, Navy/Desert, , 
On Running Cloudnova Eclipse Meadow Green, On, 26.98992, 160, 140, 155, undefined, 637501711cb69837c653012d, On Running Cloudnova, Eclipse/Meadow, , 
On Running Cloud X Alloy Grey Lily Pink (W), On, 40.99041, 140, 302, undefined, undefined, 637501711cb69837c653012e, On Running Cloud X, Alloy/Lilly, , 
On Running Cloudflow 3.0 Alloy Magnet, On, 35.99235, 140, undefined, undefined, undefined, 637501711cb69837c653012f, On Running Cloudflow 3.0, Alloy/Magnet, , 
On Running Cloudflow 3.0 Rust Eclipse, On, 35.99236, 140, 302, 329, undefined, 637501711cb69837c6530130, On Running Cloudflow 3.0, Rust/Eclipse, , 
On Running Cloudnova Z5 White Cyan, On, 26.98382, 180, 120, 151, undefined, 637501711cb69837c6530131, On Running Cloudnova Z5, White/Cyan, , 
On Running Cloudstratus Marina Blue Magnet Grey (W), On, 39.99209, 170, 302, undefined, undefined, 637501711cb69837c6530132, On Running Cloudstratus, Marina/Magnet, , 
On Running Cloudnova Black Eclipse (W), On, 26.99814, 160, 233, undefined, undefined, 637501711cb69837c6530133, On Running Cloudnova, Black/Eclipse, , 
On Running Cloudgo White Glacier Grey (W), On, 55.98625, 140, 225, undefined, undefined, 637501711cb69837c6530134, On Running Cloudgo, White/Glacier, , 
On Running Cloudgo Black Eclipse (W), On, 55.98626, 140, 233, undefined, undefined, 637501711cb69837c6530135, On Running Cloudgo, Black/Eclipse, , 
On Running Cloud 5 Waterproof Cocoa Brown, On, 59.98839, 170, undefined, undefined, undefined, 637501711cb69837c6530136, On Running Cloud 5 Waterproof, Cocoa/Frost, , 
On Running Cloudmonster Black Magnet (W), On, 61.99024, 170, 269, undefined, undefined, 637501711cb69837c6530137, On Running Cloudmonster, Black/Magnet, , 
On Running Cloudswift Black Rock White (W), On, 41.99581, 150, 233, undefined, undefined, 637501711cb69837c6530138, On Running Cloudswift, Black/Rock, , 
On Running Cloud 5 Lily Pink Frost (W), On, 59.98899, 140, 215, 209, undefined, 637501711cb69837c6530139, On Running Cloud 5, Lily/Frost, , 
On Running Cloud 5 Waterproof Olive Black, On, 59.9884, 170, 249, undefined, undefined, 637501711cb69837c653013a, On Running Cloud 5 Waterproof, Olive/Black, , 
On Running Cloudflow 3.0 Rock Grey Rose (Wide) (W), On, 35.99228, 140, undefined, undefined, undefined, 637501711cb69837c653013b, On Running Cloudflow 3.0, Rock/Rose, , 
On Running Cloudflow 3.0 Meadow Green White (W), On, 35.98685, 140, undefined, undefined, undefined, 637501711cb69837c653013c, On Running Cloudflow 3.0, Meadow/White, , 
On Running Cloudnova Limelight Eclipse (W), On, 26.98489, 160, undefined, undefined, undefined, 637501711cb69837c653013d, On Running Cloudnova, Limelight/Eclipse, , 
On Running Cloud X Glade Citron (W), On, 40.99698, 140, undefined, undefined, undefined, 637501711cb69837c653013e, On Running Cloud X, Glade/Citron, , 
On Running Cloudflow 3.0 Mulberry Mineral Grey (W), On, 35.99231, 140, undefined, undefined, undefined, 637501711cb69837c653013f, On Running Cloudflow 3.0, Mulberry/Mineral, , 
On Running Cloud X Black Pearl (W), On, 40.99592, 140, undefined, undefined, undefined, 637501711cb69837c6530140, On Running Cloud X, Black/Pearl, , 
On Running Cloud 5 Waterproof Cocoa Brown (W), On, 59.98835, 170, undefined, undefined, undefined, 637501711cb69837c6530141, On Running Cloud 5 Waterproof, Cocoa/Frost, , 
On Running Cloudswift White Limelight (W), On, 41.99577, 150, undefined, undefined, undefined, 637501711cb69837c6530142, On Running Cloudswift, White/Limelight, , 
On Running Cloudvista Glacier Grey Black (W), On, 64.99058, 140, undefined, undefined, undefined, 637501711cb69837c6530143, On Running Cloudvista, Glacier/Black, , 
